image_name,condition,description,time,id
000000008305.jpg,time,Three men in pink uniforms are standing on a court,15698,3uaybg5k
000000002142.jpg,time,An old man is sitting on a bench smiling and feeding pigeons.,18934,58hchenn
000000000049.jpg,time,Two people are on horseback with the horses' front legs in the air.,18982,9sdgzy82
000000009372.jpg,time,a bride and the groom descend the steps with people on each side of them,30603,piq3gxbp
000000003080.jpg,time,a modern clock tower that has a metal face is in front of a multi-level building,31697,utwblqmj
000000010324.jpg,time,A fridge door sits open exposing the insides that are full.,21441,2puz32o3
000000002415.jpg,time,People are trying to pull the bull using the rope,68535,k4xrbmok
000000011494.jpg,time,People are standing in the top of the bus and rising their hands,41052,r3mk529o
000000005213.jpg,time,A bike is parked in the side of the road,38392,5zc9r2yb
000000009172.jpg,time,A clock is fixed on the pole and placed on the side of the road ,72756,y2riax68
000000016308.jpg,time,A tennis player is standing on the tennis court and people are watching,49120,vlj7j8xx
000000004975.jpg,time,"Some people, may be attorneys are talking with each other and someone is standing with umbrella",80295,nvgqqzxw
000000008305.jpg,time,There are three sports player playing ball in the ground.,25616,mgkc2boi
000000002142.jpg,time,An old kind person feeding to more pigeons.,45437,55ws0ptq
000000000049.jpg,time,Two man riding horses in the ground one horse is black and another is white.,39331,igiahbra
000000009372.jpg,time,A couple wearing marriage dress in front of church.,20087,nrfhq3i6
000000003080.jpg,time,A tower clock in the wall in the road,19350,7a1wcr3k
000000010324.jpg,time,There are many things in the fridge in room,23543,65ih0x03
000000006579.jpg,time,baby with a white teddy bear and around some persons,47904,cyzmyeh6
000000006780.jpg,time,one girl on the ground others are playing,51357,5nvwva59
000000007069.jpg,time,a man keeping a yellow thing on his hand and wearing glass,37215,4tqmdgm8
000000011567.jpg,time,a tennis player with a tennis ball and bat in the court ,51655,683rr9td
000000018766.jpg,time,multi coloured bicycle is parked under the big thing,33678,mfz89er5
000000005755.jpg,time,a yellow engine in the ground and some plants around that,33911,ihp84bgu
000000002415.jpg,control,Four men hold the ropes to a cow that is standing.,34544,k6ie3ox9
000000011494.jpg,control,"A bunch of people are on a double decker bus that has a pride flag on the side, while people watch them on the street.",25244,8eqtg50r
000000005213.jpg,control,A red motorcycle sits on the side of a road at the White Mountain National Forest.,31821,1hz8ochr
000000009172.jpg,control,An old fashioned pillar with a clock on it sits on the sidewalk.,36352,z0ya1nuf
