description_id,image_name,fluency,correctness,detail
1hz8ochr,000000005213.jpg,71,66,75
3vi7z2f9,000000004975.jpg,47,84,21
68pysckx,000000016308.jpg,67,91,77
mtrx59eb,000000003080.jpg,94,77,19
yc3xqf7j,000000016308.jpg,74,96,74
98umzwoq,000000011567.jpg,84,94,86
6rw1wqip,000000009372.jpg,83,95,87
stcokee1,000000005755.jpg,92,90,94
ai0ler9m,000000009172.jpg,84,95,29
4vzy57zd,000000012109.jpg,68,91,21
1h3jc46f,000000007524.jpg,18,63,1
g9b3ya3y,000000016308.jpg,65,100,9
gr1tm90t,000000005213.jpg,100,100,100
afcjg2qg,000000005213.jpg,100,73,63
tf2o061w,000000010324.jpg,100,100,71
2tem4vp2,000000007069.jpg,100,100,71
1h8y8cs7,000000011034.jpg,52,100,72
qf8u89go,000000018766.jpg,61,100,21
wq3b7yla,000000010324.jpg,100,100,33
vlj7j8xx,000000016308.jpg,100,100,61
ziv34ahf,000000003325.jpg,70,100,16
xq0df7ky,000000006579.jpg,69,51,37
2a7ozyyg,000000002142.jpg,71,100,65
683rr9td,000000011567.jpg,73,73,8
csp106dw,000000009172.jpg,76,73,93
gu3br58t,000000011034.jpg,68,92,77
7c4ftpf6,000000016308.jpg,10,73,80
a8edcval,000000002415.jpg,73,97,36
hpbtbgm5,000000002415.jpg,96,100,100
6iaspce3,000000004975.jpg,94,96,37
cak70l4w,000000002142.jpg,63,95,78
8nujxfzh,000000012109.jpg,75,97,50
9pu0ye5d,000000004975.jpg,88,51,82
lkudwjg7,000000016308.jpg,36,95,20
fnzie3ui,000000007069.jpg,70,89,51
7741nxz5,000000011034.jpg,35,85,85
utwblqmj,000000003080.jpg,30,90,71
3ifqq5va,000000011494.jpg,5,34,23
91kj63s0,000000011034.jpg,89,97,92
4bnuvxph,000000000049.jpg,53,72,72
xcymlvet,000000003325.jpg,98,98,97
dazz3czt,000000007524.jpg,98,98,80
83xysznb,000000003080.jpg,7,70,43
ds2cbj13,000000006780.jpg,26,69,11
v8at4iuk,000000002415.jpg,92,73,7
qkizgfbb,000000002142.jpg,93,96,75
y2riax68,000000009172.jpg,95,60,1
mfma4t3i,000000007069.jpg,95,96,31
yh6xcnb9,000000007069.jpg,92,60,3
zjgppmk9,000000001053.jpg,77,70,69
n3xf50ab,000000006579.jpg,91,72,34
4qtr8qdf,000000001053.jpg,7,32,36
r3fk426w,000000002415.jpg,92,77,27
w2nqrjyq,000000006780.jpg,97,98,32
3wurn4in,000000018766.jpg,96,98,72
zxj312d1,000000007069.jpg,98,98,63
2po3r6m6,000000002142.jpg,97,59,32
4r988sds,000000005213.jpg,99,81,75
ap6yi196,000000007524.jpg,74,6,63
dtgbygwp,000000005755.jpg,95,98,98
cn0mqfu9,000000005213.jpg,59,94,62
y80c7v5f,000000007524.jpg,42,88,76
pybl1bdh,000000005755.jpg,71,92,71
fumotdsv,000000004975.jpg,79,82,89
hau9wuh5,000000005213.jpg,63,20,51
ws5ft8gl,000000009372.jpg,88,93,51
yirqctd8,000000009372.jpg,57,95,96
krutao1n,000000001053.jpg,94,92,68
hlym5owp,000000007069.jpg,69,43,67
2d9e0qz5,000000003325.jpg,51,97,38
ivgak54t,000000011494.jpg,54,100,29
ryrb7041,000000002415.jpg,43,100,24
7gv7cwtn,000000016308.jpg,19,49,56
xv1teg7u,000000003080.jpg,72,100,22
psvvsnu5,000000011494.jpg,31,100,70
9ac44xfz,000000005755.jpg,100,100,77
15pgryoh,000000011494.jpg,69,100,40
jdt7l6x8,000000016308.jpg,1,96,100
55afq7s2,000000005755.jpg,100,100,74
ev2b11k7,000000001053.jpg,100,100,82
drdujmli,000000008305.jpg,63,100,18
c18gv0wy,000000001053.jpg,40,41,100
ytqxjvay,000000011567.jpg,100,100,1
w40q8wv1,000000007069.jpg,100,100,1
4gcrvwqh,000000012109.jpg,100,67,31
16ph1u5o,000000002400.jpg,81,100,36
qy263u22,000000012109.jpg,59,100,1
sn8amdgv,000000004975.jpg,43,14,38
agtstuxc,000000006780.jpg,100,100,1
451lk3m9,000000011567.jpg,100,100,1
vgtib6hy,000000003080.jpg,63,100,82
341xj3hd,000000002142.jpg,63,100,26
j994m44l,000000001053.jpg,100,100,1
9sdgzy82,000000000049.jpg,100,100,1
95sdvazg,000000002400.jpg,100,73,1
62b3fmys,000000004975.jpg,65,93,1
8zim26of,000000001053.jpg,100,100,24
tbwl7y4y,000000006780.jpg,62,100,100
1ksuct2s,000000011034.jpg,77,1,1
b9lgempp,000000001053.jpg,100,100,41
